Using device: cuda
开始训练...
Episode 1620, 追击星奖励: 1373.78, 逃逸星奖励: -1287.57, 平均捕获率 (last20): 0.95, 终端距离: 99.83, 终止原因: {'捕获': np.True_, '距离': np.float32(99.8326), '时间': 358.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1640, 追击星奖励: 1477.53, 逃逸星奖励: -1362.55, 平均捕获率 (last20): 0.90, 终端距离: 97.63, 终止原因: {'捕获': np.True_, '距离': np.float32(97.63218), '时间': 280.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1660, 追击星奖励: -487.14, 逃逸星奖励: 488.25, 平均捕获率 (last20): 0.95, 终端距离: 135.81, 终止原因: {'捕获': np.False_, '距离': np.float32(135.80907), '时间': 731.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1680, 追击星奖励: 1530.84, 逃逸星奖励: -1411.17, 平均捕获率 (last20): 1.00, 终端距离: 99.22, 终止原因: {'捕获': np.True_, '距离': np.float32(99.22212), '时间': 274.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1700, 追击星奖励: 1753.22, 逃逸星奖励: -1597.64, 平均捕获率 (last20): 1.00, 终端距离: 99.31, 终止原因: {'捕获': np.True_, '距离': np.float32(99.31445), '时间': 139.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1720, 追击星奖励: 1239.46, 逃逸星奖励: -1156.21, 平均捕获率 (last20): 0.95, 终端距离: 99.37, 终止原因: {'捕获': np.True_, '距离': np.float32(99.37284), '时间': 386.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1740, 追击星奖励: 1461.83, 逃逸星奖励: -1344.87, 平均捕获率 (last20): 1.00, 终端距离: 99.69, 终止原因: {'捕获': np.True_, '距离': np.float32(99.68854), '时间': 275.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1760, 追击星奖励: 1603.23, 逃逸星奖励: -1471.39, 平均捕获率 (last20): 1.00, 终端距离: 98.90, 终止原因: {'捕获': np.True_, '距离': np.float32(98.89598), '时间': 218.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1780, 追击星奖励: 1424.90, 逃逸星奖励: -1333.49, 平均捕获率 (last20): 1.00, 终端距离: 98.96, 终止原因: {'捕获': np.True_, '距离': np.float32(98.95965), '时间': 341.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1800, 追击星奖励: 1661.01, 逃逸星奖励: -1549.88, 平均捕获率 (last20): 1.00, 终端距离: 97.90, 终止原因: {'捕获': np.True_, '距离': np.float32(97.90098), '时间': 346.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1820, 追击星奖励: 1567.13, 逃逸星奖励: -1453.98, 平均捕获率 (last20): 0.95, 终端距离: 99.32, 终止原因: {'捕获': np.True_, '距离': np.float32(99.32043), '时间': 287.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
